date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:53	18282/18282	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Apr%202022%2008:11:00%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/797902608.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2022/02/cropped-cropped-cropped-apple-touch-icon/797902608.png	(from https://www.bnpparibas.nl/nl/)
21:38:54	629/629	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jun%202021%2013:25:39%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-centric-green/3278600628.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-centric-green/3278600628.png	(from https://www.bnpparibas.nl/nl/)
21:38:54	2391/2391	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jun%202021%2013:25:39%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-globalmarkets-green/2706353848.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-globalmarkets-green/2706353848.png	(from https://www.bnpparibas.nl/nl/)
21:38:55	121397/121397	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:54%20GMT	https://www.bnpparibas.nl/nl/bnp-paribas-in-the-world/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/bnp-paribas-in-the-world/index.html	(from https://www.bnpparibas.nl/nl/)
21:38:55	911/911	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Jun%202021%2013:25:39%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-connexis-colors/1810976373.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2021/06/label-connexis-colors/1810976373.png	(from https://www.bnpparibas.nl/nl/)
21:38:56	7299/7299	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Apr%202021%2013:18:30%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2021/04/wealth-management-logo-1/2322177039.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2021/04/wealth-management-logo-1/2322177039.png	(from https://www.bnpparibas.nl/nl/)
21:38:57	14200/14200	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Apr%202024%2019:44:59%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/2024/04/default-320x480-t2-iab-edited-1.jpg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/2024/04/default-320x480-t2-iab-edited-1.jpg	(from https://www.bnpparibas.nl/nl/)
21:38:57	260548/260548	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Feb%202025%2016:46:27%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2025/02/adobestock-762641041-e1740066964469/2585467912.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2025/02/adobestock-762641041-e1740066964469/2585467912.jpg	(from https://www.bnpparibas.nl/nl/)
21:38:58	87382/87382	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:57%20GMT	https://www.bnpparibas.nl/nl/over-bnp-paribas/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/over-bnp-paribas/index.html	(from https://www.bnpparibas.nl/nl/)
21:38:58	101091/101091	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:57%20GMT	https://www.bnpparibas.nl/nl/duurzaamheids_missie/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/duurzaamheids_missie/index.html	(from https://www.bnpparibas.nl/nl/)
21:38:58	63022/63022	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Jul%202025%2018:38:58%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/2023/02/adobestock-374949745-1-1024x683.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/2023/02/adobestock-374949745-1-1024x683.jpeg	(from https://www.bnpparibas.nl/nl/)
21:38:59	108581/108581	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:59%20GMT	https://www.bnpparibas.nl/nl/our-entities/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/our-entities/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:00	90833/90833	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:59%20GMT	https://www.bnpparibas.nl/nl/for-those-who-move-the-world/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/for-those-who-move-the-world/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:01	137680/137680	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:38:59%20GMT	https://www.bnpparibas.nl/nl/nieuws-pers/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/nieuws-pers/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:02	173003/173003	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Feb%202023%2009:40:00%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/2023/02/adobestock-89069228-1-1024x681.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/2023/02/adobestock-89069228-1-1024x681.jpg	(from https://www.bnpparibas.nl/nl/)
21:39:02	1258062/1258062	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Apr%202024%2019:43:38%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/2024/04/biodiversiteit-banner-1-edited-1.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/2024/04/biodiversiteit-banner-1-edited-1.png	(from https://www.bnpparibas.nl/nl/)
21:39:04	123034/123034	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:03%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=insights	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/indexcdfd.html	(from https://www.bnpparibas.nl/nl/)
21:39:04	67468/67468	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Sep%202023%2013:08:08%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/2023/09/adobestock-462076779-1024x682.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/2023/09/adobestock-462076779-1024x682.jpg	(from https://www.bnpparibas.nl/nl/)
21:39:05	107511/107511	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:03%20GMT	https://www.bnpparibas.nl/nl/contact/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/contact/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:05	105999/105999	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:04%20GMT	https://www.bnpparibas.nl/nl/werken-bij/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/werken-bij/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:06	331812/331812	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20May%202025%2008:26:16%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2024/10/grachten-amsterdam/3609896351.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2024/10/grachten-amsterdam/3609896351.jpg	(from https://www.bnpparibas.nl/nl/)
21:39:06	133182/133182	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Feb%202025%2008:14:12%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2025/02/adobestock-481119433/3973140904.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2025/02/adobestock-481119433/3973140904.jpg	(from https://www.bnpparibas.nl/nl/)
21:39:06	355613/355613	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Jan%202025%2010:57:28%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2025/01/adobestock-220691895/367842987.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2025/01/adobestock-220691895/367842987.jpg	(from https://www.bnpparibas.nl/nl/)
21:39:07	121858/121858	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:06%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=persbericht	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/index0585.html	(from https://www.bnpparibas.nl/nl/)
21:39:07	1300697/1300697	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Dec%202024%2008:13:11%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2024/12/jeugdfonds-lets-dance-instalinkedin-002/661400371.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2024/12/jeugdfonds-lets-dance-instalinkedin-002/661400371.png	(from https://www.bnpparibas.nl/nl/)
21:39:08	89120/89120	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:08%20GMT	https://www.bnpparibas.nl/nl/stichting-oak-pensioenfonds-kiest-bnp-paribas-als-global-custodian-en-administrateur-voor-haar-e-54-miljard-aan-beleggingen/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/stichting-oak-pensioenfonds-kiest-bnp-paribas-als-global-custodian-en-administrateur-voor-haar-e-54-miljard-aan-beleggingen/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:08	91010/91010	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:08%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=securities-services-nl	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/index22d7.html	(from https://www.bnpparibas.nl/nl/)
21:39:09	123284/123284	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:08%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=duurzaamheid-mvo	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/index7889.html	(from https://www.bnpparibas.nl/nl/)
21:39:10	90233/90233	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:08%20GMT	https://www.bnpparibas.nl/nl/staal-de-onmisbare-grijze-schakel-in-de-groene-keten/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/staal-de-onmisbare-grijze-schakel-in-de-groene-keten/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:10	89986/89986	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:09%20GMT	https://www.bnpparibas.nl/nl/blue-bonds-geven-handen-en-voeten-aan-investeerders-met-focus-op-water/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/blue-bonds-geven-handen-en-voeten-aan-investeerders-met-focus-op-water/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:11	91226/91226	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:10%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=uncategorized-nl	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/indexfcc0.html	(from https://www.bnpparibas.nl/nl/)
21:39:11	93363/93363	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:10%20GMT	https://www.bnpparibas.nl/nl/bnp-paribas-foundation-verlengt-partnership-met-jeugdfonds-sport-cultuur-en-steunt-jeugdfonds-lets-dance/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/bnp-paribas-foundation-verlengt-partnership-met-jeugdfonds-sport-cultuur-en-steunt-jeugdfonds-lets-dance/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:12	88271/88271	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:11%20GMT	https://www.bnpparibas.nl/nl/juridische-informatie/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/juridische-informatie/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:12	8892/8892	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20May%202025%2012:13:58%20GMT	https://www.bnpparibas.nl/app/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/plugins/wp-rocket/assets/js/lazyload/17.8.3/lazyload.min.js	(from https://www.bnpparibas.nl/nl/)
21:39:17	80050/80050	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:14%20GMT	https://www.bnpparibas.nl/nl/algemene-perscontacten/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/algemene-perscontacten/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:17	119868/119868	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:14%20GMT	https://www.bnpparibas.nl/nl/gegevensbescherming/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/gegevensbescherming/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:18	94894/94894	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:15%20GMT	https://www.bnpparibas.nl/nl/cookiebeleid/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/cookiebeleid/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:19	90981/90981	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:15%20GMT	https://www.bnpparibas.nl/nl/sitemap/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/sitemap/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:19	84222/84222	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:18%20GMT	https://www.bnpparibas.nl/nl/klokkenluidersregeling/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/klokkenluidersregeling/index.html	(from https://www.bnpparibas.nl/nl/)
21:39:20	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jul%202025%2018:39:18%20GMT	https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/i	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/i	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:21	60724/60724	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Jul%202025%2018:39:20%20GMT	https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/Firefox/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/Firefox/index.html	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:25	962642/962642	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Apr%202023%2009:26:07%20GMT	https://cdn.territories.bnpparibas/app/uploads/sites/6/2023/04/marja-kooistra-opgemaakt-1-1024x1024.png	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/cdn.territories.bnpparibas/app/uploads/sites/6/2023/04/marja-kooistra-opgemaakt-1-1024x1024.png	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:26	204518/204518	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Apr%202023%2012:33:26%20GMT	https://www.bnpparibas.nl/app/uploads/sites/6/cache/2023/04/adobestock-550120223/2556886078.jpeg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/uploads/sites/6/cache/2023/04/adobestock-550120223/2556886078.jpg	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:27	157454/157454	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Apr%202023%2009:45:08%20GMT	https://cdn.territories.bnpparibas/app/uploads/sites/6/2023/04/final-bnp-esg-2004-01-1024x1024.jpg	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/cdn.territories.bnpparibas/app/uploads/sites/6/2023/04/final-bnp-esg-2004-01-1024x1024.jpg	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:28	120951/120951	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:21%20GMT	https://www.bnpparibas.nl/nl/laatste-inzichten/?category%5B%5D=podcast	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/laatste-inzichten/indexcb34.html	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:29	96046/96046	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:26%20GMT	https://www.bnpparibas.nl/nl/intrinsieke-deugers-hebben-we-nodig/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/intrinsieke-deugers-hebben-we-nodig/index.html	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:29	95908/95908	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Jul%202025%2018:39:27%20GMT	https://www.bnpparibas.nl/nl/de-energietransitie-is-ook-geopolitiek/	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/de-energietransitie-is-ook-geopolitiek/index.html	(from https://www.bnpparibas.nl/nl/ik-vertrek-voor-een-duurzame-wereld/)
21:39:29	33504/33504	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/5ab42845c37f43ad2bd4.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/5ab42845c37f43ad2bd4.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:30	35100/35100	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/da909cc9147396d1762e.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/da909cc9147396d1762e.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:30	36296/36296	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/80087c6157a8780832cf.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/80087c6157a8780832cf.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:30	34656/34656	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/8dffc714f4ea2e0db5f9.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/8dffc714f4ea2e0db5f9.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:30	16740/16740	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/a1535f451fb7bb98f526.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/a1535f451fb7bb98f526.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:30	17820/17820	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/80a88fd1b15e99551462.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/80a88fd1b15e99551462.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:31	16756/16756	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/7ef3bbc98d285227e83a.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/7ef3bbc98d285227e83a.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:31	16372/16372	---M--	200	added ('OK')	application/font-woff2	date:Tue,%2025%20Jul%202023%2015:54:39%20GMT	https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/b245bc85ddeedb27a549.woff2	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/assets/b245bc85ddeedb27a549.woff2	(from https://www.bnpparibas.nl/app/themes/bnpp-pays-v2c/dist/app.857dfbb7.min.css)
21:39:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jul%202025%2018:39:34%20GMT	https://www.bnpparibas.nl/nl/bnp-paribas-in-the-world/i	C:/Users/admin/Desktop/BANQUE/CODE%20CLONE/www.bnpparibas.nl/nl/bnp-paribas-in-the-world/i	(from https://www.bnpparibas.nl/nl/bnp-paribas-in-the-world/)
